	0	match_cnt	entry_id	3	class	QID	definition
0	0	4	E1_39	https://www.wikidata.org/wiki/Q106812	1	1	Aasen [ åsen ], Ivar Andreas, norsk språkforskare, föddes i byn Örsten på Söndmöre d. 5 Aug. 1813. Vid 18 års ålder blef han ambulatorisk folkskolelärare i sin födelsebygd och verkade några år i denna befattning. Derefter kom han till en prest, af hvilken han fick undervisning i de vanliga skolämnena och tog sedermera plats som informator. Han vinnlade sig då ifrigt om studiet af botaniken och utarbetade
1	0	4	E2_51	https://www.wikidata.org/wiki/Q106812		1	Aasen [ åsen ], Ivar Andreas, norsk språkforskare, föddes på gården Aasen i Söndmöre 5 aug. 1813. Först vid aderton års ålder, då han blef skollärare i hemsocknen, fick han tillfälle att stilla sin kunskapstörst. Efter undervisning af prästen H. C. Thoresen ( Magdalene Th : s man ) samt studier på egen hand i botanik och moderna språk beslöt han att undersöka och behandla sin hembygds dialekt
2	0	4	E3_60	https://www.wikidata.org/wiki/Q106812		1	Aasen [ å - ], Ivar Andreas, norsk språkforskare ( 1813 5 / 8 — 96 23 / 9 ), bondson och f. på gården Aasen i örsta socken, Söndmör. Till en början skollärare i sin hemsocken, blev A.
3	0	4	E4_50	https://www.wikidata.org/wiki/Q106812		1	Aasen [ å - ], Ivar Andreas, norsk språkforskare ( 1813 — 96 ), bondson och f. på gården Aasen i örsta socken, Söndmöre. Till en början skollärare i sin hemsocken, blev A. genom understöd från Viden - skapers selskab i Trondhjem 1842 — 47 satt i tillfälle att under resor genom nästan hela Norge insamla språkmaterial från skilda trakter. Sedan slog han sig ned i Kristiania för
4	1	4	E1_58	https://www.wikidata.org/wiki/	1	Q4295	"Abailard [ abälar ], Pierre ( äfven Abeilard och Abélard ; Lat. Petrus Abælardus ), skolastisk filosof och teolog ; född 1079 i byn Palais i Bretagne. Han var en af medeltidens djerfvaste tänkare ; men den ryktbarhet han förvärfvade hade snarare sin anledning i hans oroliga och vexlingsrika lefnad än i resultaten af hans vetenskapliga verksamhet. Fastän Abail"
5	1	4	E2_73	https://www.wikidata.org/wiki/		Q4295	"Abailard [ abälar ], Pierre ( äfven Abeilard och Abélard ; lat. Petrus Abælardus ), fransk skolastisk filosof och teolog, f. 1079 i byn Palais i Bretagne, var en af medeltidens djärfvaste tänkare, men den ryktbarhet han förvärfvade hade snarare sin anledning i hans oroliga och växlingsrika lefnad än i resultaten af hans vetenskapliga verksamhet. Fastän född af adliga"
6	1	4	E3_77	https://www.wikidata.org/wiki/		Q4295	Abailard [ abälär ], Pierre, även Abé la r d ( lat. Petrus Abaelardus ), fransk skolas tisk filosof o. teolog ( 1079 — 1142 ), f. i Bre tagne. Var en av medeltidens djärvaste tänkare och skarpsinnigaste dialektiker. Då man på grund av hans frisinnade teologiska åsikter förbjöd honom att föreläsa vid universitetet i Paris, följde honom skaror av - hans lärjungar ut på landet
7	1	4	E4_64	https://www.wikidata.org/wiki/		Q4295	Abailard [ abälär ], Pierre, även Abé - lard ( lat. Petrus Abaelardus ), fransk skolastisk filosof och teolog ( 1079 — 1142 ), f. i Bretagne. A. var en av medeltidens djärvaste tänkare och skarpsinnigaste dialektiker. På grund av sina frisinnade teologiska åsikter förbjöds han föreläsa vid universitetet i Paris. Som filosof var A. lärjunge till nominalisten Roscelinus
8	2	4	E1_137	https://www.wikidata.org/wiki/Q27932	1	1	Abel, konung i Danmark 1250 - 52, Valdemar Seiers näst äldste son med Bengerd, föddes omkr. 1218. A., som redan 1232 blifvit af Valdemar utnämnd till hertig i Sönderjylland ( sedermera hertigdömet Slesvig ), gifte sig 1237 mot faderns vilja med Mechtild, dotter af konungens gamle fiende grefve Adolf IV af Holstein. Derigenom kom han i fientligt förhållande till sin länsherre och äldre
9	2	4	E2_203	https://www.wikidata.org/wiki/Q27932		1	Abel, konung i Danmark 1250 - 52, Valdemar Seirs näst äldste son med Berengaria, f. 1218. blef 1232 utnämnd till hertig i Sönderjylland och öfvertog sitt län 1237 samt gifte sig med Mechtild, dotter till grefve Adolf IV af Holstein. Strax efter faderns död ( 1241 ) kom han i tvist med sin äldre broder, konung Erik Plogpenning, och brytningen blef än svårare, då han
